Name,Brand,Model,Inches,Price,DisplayType,Display,Resolution,Features,Connectivity,Design
acer ar70gr2851ud 70 inch (177 cm) led 4k tv,acer,ar70gr2851ud 7,70,69999,led 4k tv,"70"" (177.8 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps
Voice Control
Smart Remote","Sound Output: 24 W
2 USB Ports
3 HDMI Ports",Colour: Grey
iffalcon iff32s53 32 inch (81 cm) led hd-ready tv,iffalcon,iff32s53 3,32,11999,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,"Apps
Voice Control
Smart Remote","Sound Output: 16 W
1 USB Ports
2 HDMI Ports","421 x 715 x 80 mm
Weight: 3.4 kg
Colour: Black"
iffalcon iff43u62 43 inch (109 cm) led 4k tv,iffalcon,iff43u62 4,43,18999,led 4k tv,"43"" (109.22 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps
Voice Control","Sound Output: 24 W
1 USB Ports
3 HDMI Ports","957 x 558 x 80 mm
Colour: Black"
iffalcon iff50u62 50 inch (127 cm) led 4k tv,iffalcon,iff50u62 5,50,24999,led 4k tv,"50"" (127 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,Apps,"Sound Output: 24 W
1 USB Ports
3 HDMI Ports","1112 x 645 x 81 mm
Colour: Black"
iffalcon iff55u62 55 inch (139 cm) led 4k tv,iffalcon,iff55u62 5,55,26990,led 4k tv,"55"" (139.7 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps
Voice Control
Smart Remote","Sound Output: 24 W
1 USB Ports
3 HDMI Ports",1230 x 711 x 81 mm
samsung crystal vision ua43cue70akl 43 inch (109 cm) led 4k tv,samsung,crystal vision ua43cue70akl 4,43,31490,led 4k tv,"43"" (109.22 cm), LED
4K, 3840x2160
50 Hz Refresh Rate",3840x2160,"Apps and Games
Web Browser
Voice Control","Sound Output: 20 W
1 USB Ports
3 HDMI Ports","963.9 x 558.9 x 59.6 mm
Weight: 7.7 kg
Colour: Other"
thomson 32alpha007bl 32 inch (81 cm) led hd-ready tv,thomson,32alpha007bl 3,32,8499,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,Apps,"Sound Output: 30 W
2 USB Ports
3 HDMI Ports","935 x 440 x 110 mm
Colour: Black"
xiaomi x series l50m8-a2in 50 inch (127 cm) led 4k tv,xiaomi,x series l50m8-a2in 5,50,34999,led 4k tv,"50"" (127 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps
Voice Control
Smart Remote","Sound Output: 30 W
2 USB Ports
3 HDMI Ports","1111.2 x 644.5 x 82.6 mm
Colour: Black"
xiaomi mi tv 4x 50 inch (127 cm) led 4k tv,xiaomi,mi tv 4x 5,50,34999,led 4k tv,"50"" (127 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps and Games
Web Browser
Voice Control","Sound Output: 20 W
2 USB Ports
3 HDMI Ports",Colour: Black
thomson q65h1100 65 inch (165 cm) qled 4k tv,thomson,q65h1100 6,65,43999,qled 4k tv,"65"" (165.1 cm), QLED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps
Voice Control","Sound Output: 40 W
2 USB Ports
3 HDMI Ports",Colour: Black
lg 32lm563bptc 32 inch (81 cm) led hd-ready tv,lg,32lm563bptc 3,32,20990,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
50 Hz Refresh Rate",1366x768,"Apps
Web Browser
Facebook","Sound Output: 10 W
1 USB Ports
2 HDMI Ports","739 x 441 x 84 mm
Weight: 5.1 kg
Colour: Black"
oneplus y1s pro 43 inch (109 cm) led 4k tv,oneplus,y1s pro 4,43,29990,led 4k tv,"43"" (109.22 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps and Games
Voice Control
Smart Remote","Sound Output: 24 W
2 USB Ports
2 HDMI Ports","957 x 210 x 612 mm
Weight: 5.9 kg
Colour: Black"
infinix 32y1 32 inch (81 cm) led hd-ready tv,infinix,32y1 3,32,8999,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,"Apps
Smart Remote","Sound Output: 20 W
2 USB Ports
3 HDMI Ports","732 x 439 x 83 mm
Weight: 3.7 kg
Colour: Black"
lg 55uq7500psf 55 inch (139 cm) led 4k tv,lg,55uq7500psf 5,55,43990,led 4k tv,"55"" (139.7 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps
Web Browser
Voice Control","Sound Output: 20 W
1 USB Ports
3 HDMI Ports","1244 x 726 x 87.1 mm
Weight: 14.3 kg
Colour: Black"
lg 43ur7500psc 43 inch (109 cm) led 4k tv,lg,43ur7500psc 4,43,32990,led 4k tv,"43"" (109.22 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps
Web Browser
Smart Remote","Sound Output: 20 W
2 USB Ports
3 HDMI Ports","967 x 564 x 57.1 mm
Weight: 8.8 kg
Colour: Black"
samsung ua55cue60ak 55 inch (139 cm) led 4k tv,samsung,ua55cue60ak 5,55,47990,led 4k tv,"55"" (139.7 cm), LED
4K, 3840x2160
50 Hz Refresh Rate",3840x2160,"Apps
Web Browser
Skype Compatible","Sound Output: 20 W
1 USB Ports
3 HDMI Ports","1230.5 x 707.2 x 59.9 mm
Weight: 13.1 kg
Colour: Black"
samsung ua50cue60ak 50 inch (127 cm) led 4k tv,samsung,ua50cue60ak 5,50,44990,led 4k tv,"50"" (127 cm), LED
4K, 3840x2160
50 Hz Refresh Rate",3840x2160,"Apps and Games
Voice Control
Skype Compatible","Sound Output: 20 W
1 USB Ports
3 HDMI Ports","1116.8 x 644.2 x 59.9 mm
Weight: 10.9 kg
Colour: Black"
motorola 32hdgdmbsxp 32 inch (81 cm) led hd-ready tv,motorola,32hdgdmbsxp 3,32,11499,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,Apps,"Sound Output: 20 W
2 USB Ports
3 HDMI Ports",Colour: Black
cooaa 32s3u pro 32 inch (81 cm) led hd-ready tv,cooaa,32s3u pro 3,32,8499,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,"Apps and Games
Web Browser
Facebook","Sound Output: 18 W
1 USB Ports
2 HDMI Ports","808 x 490 x 85.2 mm
Weight: 3.2 kg
Colour: Black"
lg 43up7500ptz 43 inch (109 cm) led 4k tv,lg,43up7500ptz 4,43,36990,led 4k tv,"43"" (109.22 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps and Games
Web Browser
Voice Control","Sound Output: 20 W
1 USB Ports
2 HDMI Ports","973 x 572 x 85 mm
Weight: 8.0 kg
Colour: Other"
kodak 9xpro 329x5051 32 inch (81 cm) led hd-ready tv,kodak,9xpro 329x5051 3,32,10499,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,"Apps
Voice Control","Sound Output: 30 W
2 USB Ports
3 HDMI Ports","735 x 440 x 110 mm
Colour: Black"
kodak 43fhdx7xpro 43 inch (109 cm) led full hd tv,kodak,43fhdx7xpro 4,43,23499,led full hd tv,"43"" (109.22 cm), LED
Full HD, 1920x1080
60 Hz Refresh Rate",1920x1080,"Apps and Games
Web Browser
Voice Control","Sound Output: 24 W
2 USB Ports
3 HDMI Ports","970 x 570 x 210 mm
Colour: Black"
samsung ua43aue65ak 43 inch (109 cm) led 4k tv,samsung,ua43aue65ak 4,43,28990,led 4k tv,"43"" (109.22 cm), LED
4K, 3840x2160
50 Hz Refresh Rate",3840x2160,"Apps and Games
Voice Control","Sound Output: 20 W
1 USB Ports
3 HDMI Ports","963.1 x 562.4 x 77.5 mm
Weight: 7 kg
Colour: Black"
marq 32hdcdqee1b 32 inch (81 cm) led hd-ready tv,marq,32hdcdqee1b 3,32,8399,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,Apps,"Sound Output: 24 W
2 USB Ports
2 HDMI Ports","734 x 425 x 85 mm
Weight: 3.5 kg
Colour: Black"
vu 43gloled 43 inch (109 cm) led 4k tv,vu,43gloled 4,43,29999,led 4k tv,"43"" (109.22 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,Apps,"Sound Output: 84 W
2 USB Ports
3 HDMI Ports","Weight: 8.7 kg
Colour: Black"
acer v series ar43gr2851vqd 43 inch (109 cm) qled 4k tv,acer,v series ar43gr2851vqd 4,43,24999,qled 4k tv,"43"" (109.22 cm), QLED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps
Voice Control
Smart Remote","Sound Output: 30 W
2 USB Ports
3 HDMI Ports","966 x 566 x 89 mm
Weight: 6.90 kg
Colour: Black"
thomson op max 55opmaxgt9030 55 inch (139 cm) led 4k tv,thomson,op max 55opmaxgt9030 5,55,29499,led 4k tv,"55"" (139.7 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps
Voice Control
Smart Remote","Sound Output: 40 W
2 USB Ports
3 HDMI Ports","1240 x 710 x 125 mm
Colour: Black"
hisense 75a6k 75 inch (190 cm) led 4k tv,hisense,75a6k 7,75,94999,led 4k tv,"75"" (190.5 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps
Web Browser
Voice Control","Sound Output: 30 W
2 USB Ports
3 HDMI Ports","1676 x 966 x 87 mm
Weight: 22.2 kg
Colour: Grey"
hisense tornado 65a7k 65 inch (165 cm) led 4k tv,hisense,tornado 65a7k 6,65,59999,led 4k tv,"65"" (165.1 cm), LED
4K, 3840x2160
120 Hz Refresh Rate",3840x2160,"Apps
Voice Control
Smart Remote","Sound Output: 61 W
2 USB Ports
3 HDMI Ports","1453 x 860 x 95 mm
Weight: 17.8 kg
Colour: Grey"
hisense 50a7h 50 inch (127 cm) led 4k tv,hisense,50a7h 5,50,32999,led 4k tv,"50"" (127 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps
Voice Control
Smart Remote","Sound Output: 102 W
2 USB Ports
3 HDMI Ports","1118 x 676 x 78 mm
Colour: Black"
kodak 55mt5022 55 inch (139 cm) qled 4k tv,kodak,55mt5022 5,55,30999,qled 4k tv,"55"" (139.7 cm), QLED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,Apps,"Sound Output: 40 W
2 USB Ports
2 HDMI Ports",Colour: Black
xiaomi mi x pro (l50m8-5xin) 50 inch (127 cm) led 4k tv,xiaomi,mi x pro (l50m8-5xin) 5,50,41999,50 inch (127 cm) led 4k tv,"50"" (127 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps
Voice Control
Smart Remote","Sound Output: 40 W
2 USB Ports
3 HDMI Ports","1106.3 x 653.3 x 262.8 mm
Weight: 10.1 kg
Colour: Other"
xiaomi mi x pro (l43m8-5xin) 43 inch (109 cm) led 4k tv,xiaomi,mi x pro (l43m8-5xin) 4,43,32999,43 inch (109 cm) led 4k tv,"43"" (109.22 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps
Voice Control","Sound Output: 30 W
2 USB Ports
3 HDMI Ports",Colour: Silver
marq 32hdndqee1b 32 inch (81 cm) led hd-ready tv,marq,32hdndqee1b 3,32,7449,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,,"2 USB Ports, 2 HDMI Ports, Ethernet, Wi-Fi",Colour: Black
marq 32hdndmsvab 32 inch (81 cm) led hd-ready tv,marq,32hdndmsvab 3,32,8999,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,and Games,"Sound Output: 20 W
2 USB Ports
2 HDMI Ports","730 x 436 x 74 mm
Weight: 4.5 kg
Colour: Black"
oneplus 32y1 32 inch (81 cm) led hd-ready tv,oneplus,32y1 3,32,9999,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,"Apps and Games
Web Browser
Voice Control","Sound Output: 20 W
2 USB Ports
2 HDMI Ports","713 x 425 x 65 mm
Weight: 3.5 kg
Colour: Black"
foxsky 32fsels-pro 32 inch (81 cm) led hd-ready tv,foxsky,32fsels-pro 3,32,7999,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,Apps,"Sound Output: 30 W
2 USB Ports
1 HDMI Ports","711 x 419 x 172 mm
Weight: 4 kg
Colour: Black"
blaupunkt cybersound 43csa7121 43 inch (109 cm) led full hd tv,blaupunkt,cybersound 43csa7121 4,43,17499,led full hd tv,"43"" (109.22 cm), LED
Full HD, 1920x1080
60 Hz Refresh Rate",1920x1080,"Apps and Games
Web Browser
Voice Control","Sound Output: 40 W
2 USB Ports
3 HDMI Ports","970 x 570 x 120 mm
Colour: Black"
blaupunkt 42csa7707 42 inch (106 cm) led full hd tv,blaupunkt,42csa7707 4,42,16999,led full hd tv,"42"" (106.68 cm), LED
Full HD, 1920x1080
60 Hz Refresh Rate",1920x1080,"Apps and Games
Voice Control
Facebook","Sound Output: 40 W
2 USB Ports
3 HDMI Ports","954 x 540 x 90 mm
Colour: Black"
sony bravia kd-32w820k 32 inch (81 cm) led hd-ready tv,sony,bravia kd-32w820k 3,32,24999,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,"Apps
Voice Control
Smart Remote","Sound Output: 20 W
2 USB Ports
3 HDMI Ports","730 x 437 x 75 mm
Weight: 4.8 kg
Colour: Black"
haier le32w400g 32 inch (81 cm) led hd-ready tv,haier,le32w400g 3,32,12490,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,"Apps
Voice Control
Smart Remote","Sound Output: 20 W
2 USB Ports",Colour: Black
dyanora dy-ld24h4s 24 inch (60 cm) led hd-ready tv,dyanora,dy-ld24h4s 2,24,6999,led hd-ready tv,"24"" (60.96 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,Apps,"Sound Output: 20 W
2 USB Ports
2 HDMI Ports","555 x 335 x 90 mm
Colour: Black"
dyanora dy-ld32h4s 32 inch (81 cm) led hd-ready tv,dyanora,dy-ld32h4s 3,32,8999,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,"Apps
Web Browser","Sound Output: 30 W
2 USB Ports
2 HDMI Ports","718 x 420 x 80 mm
Colour: Black"
xiaomi smart tv 5a pro 32 inch (81 cm) led hd-ready tv,xiaomi,smart tv 5a pro 3,32,25999,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,"Apps
Voice Control
Smart Remote","Sound Output: 24 W
2 USB Ports
2 HDMI Ports","715 x 423.7 x 82.5 mm
Weight: 3.9 kg
Colour: Black"
dyanora dy-ld32h1n 32 inch (81 cm) led hd-ready tv,dyanora,dy-ld32h1n 3,32,7999,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,,"2 USB Ports, 3 HDMI Ports, Wi-Fi, Bluetooth","718 x 420 x 80 mm
Colour: Black"
beethosol ledatbg32hdek 32 inch (81 cm) led hd-ready tv,beethosol,ledatbg32hdek 3,32,7399,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,,"2 USB Ports, 3 HDMI Ports, Wi-Fi, Bluetooth",Colour: Grey
sansui jswy32gshd 32 inch (81 cm) led hd-ready tv,sansui,jswy32gshd 3,32,11990,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,Apps,"Sound Output: 20 W
2 USB Ports
2 HDMI Ports",Colour: Black
toshiba 65m550mp 65 inch (165 cm) qled 4k tv,toshiba,65m550mp 6,65,56999,qled 4k tv,"65"" (165.1 cm), QLED
4K, 3840x2160
120 Hz Refresh Rate",3840x2160,"Apps
Voice Control
Smart Remote","Sound Output: 49 W
3 HDMI Ports","1451 x 840 x 76 mm
Weight: 18.6 kg
Colour: Black"
sansui jsw65asuhdff 65 inch (165 cm) led 4k tv,sansui,jsw65asuhdff 6,65,51999,led 4k tv,"65"" (165.1 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,,"3 USB Ports, 4 HDMI Ports, Ethernet, Wi-Fi",Colour: Black
sansui jsw43asuhd 43 inch (109 cm) led 4k tv,sansui,jsw43asuhd 4,43,25999,led 4k tv,"43"" (109.22 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps and Games
Web Browser
Facebook","Sound Output: 20 W
2 USB Ports
3 HDMI Ports",Colour: Black
realme smart tv 32 32 inch (81 cm) led hd-ready tv,realme,smart tv 32 3,32,9999,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,"Apps and Games
Web Browser
Voice Control","Sound Output: 24 W
2 USB Ports
3 HDMI Ports","730 x 432 x 88 mm
Weight: 3.6 kg
Colour: Black"
blaupunkt cybersound g2 65csgt7024 65 inch (165 cm) led 4k tv,blaupunkt,cybersound g2 65csgt7024 6,65,39999,led 4k tv,"65"" (165.1 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps
Voice Control
Smart Remote","Sound Output: 60 W
2 USB Ports
3 HDMI Ports",1470 x 830 x 130 mm
blaupunkt 50csa7007 50 inch (127 cm) led 4k tv,blaupunkt,50csa7007 5,50,28999,led 4k tv,"50"" (127 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps and Games
Web Browser
Voice Control","Sound Output: 60 W
3 USB Ports
3 HDMI Ports","1113 x 647 x 74 mm
Weight: 9.0 kg
Colour: Black"
blaupunkt 55csa7090 55 inch (139 cm) led 4k tv,blaupunkt,55csa7090 5,55,32999,led 4k tv,"55"" (139.7 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps and Games
Gesture Control
Voice Control","Sound Output: 60 W
2 USB Ports
2 HDMI Ports","1227 x 715 x 76 mm
Colour: Black"
lg oled65a2psa 65 inch (165 cm) oled 4k tv,lg,oled65a2psa 6,65,149990,oled 4k tv,"65"" (165.1 cm), OLED
4K, 3840x2160",3840x2160,"Apps and Games
Voice Control
Smart Remote","Sound Output: 20 W
3 HDMI Ports","1449 x 832 x 45.9 mm
Weight: 17.1 kg
Colour: Black"
infinix 43x3in 43 inch (109 cm) led full hd tv,infinix,43x3in 4,43,16999,led full hd tv,"43"" (109.22 cm), LED
Full HD, 1920x1080
60 Hz Refresh Rate",1920x1080,Apps,"Sound Output: 20 W
2 USB Ports
2 HDMI Ports",Colour: Black
kodak ca pro 43capro5022 43 inch (109 cm) led 4k tv,kodak,ca pro 43capro5022 4,43,23999,led 4k tv,"43"" (109.22 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps
Web Browser
Voice Control","Sound Output: 40 W
2 USB Ports
3 HDMI Ports","970 x 550 x 100 mm
Colour: Black"
xiaomi mi tv 4a horizon 40 inch (101 cm) led full hd tv,xiaomi,mi tv 4a horizon 4,40,29999,led full hd tv,"40"" (101.6 cm), LED
Full HD, 1920x1080
60 Hz Refresh Rate",1920x1080,"Apps and Games
Web Browser
Voice Control","Sound Output: 20 W
2 USB Ports
3 HDMI Ports","892.2 x 512.8 x 86.5 mm
Weight: 5.48 kg
Colour: Black"
panasonic viera th-40hs450dx 40 inch (101 cm) led full hd tv,panasonic,viera th-40hs450dx 4,40,13999,led full hd tv,"40"" (101.6 cm), LED
Full HD, 1920x1080
60 Hz Refresh Rate",1920x1080,"Apps
Web Browser
Facebook","Sound Output: 16 W
2 USB Ports
2 HDMI Ports",Colour: Black
panasonic th-65mx660dx 65 inch (165 cm) led 4k tv,panasonic,th-65mx660dx 6,65,64990,led 4k tv,"65"" (165.1 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps
Voice Control
Smart Remote","Sound Output: 20 W
2 USB Ports
3 HDMI Ports",Colour: Black
panasonic th-55mx660dx 55 inch (139 cm) led 4k tv,panasonic,th-55mx660dx 5,55,42990,led 4k tv,"55"" (139.7 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps
Voice Control
Smart Remote","Sound Output: 20 W
2 USB Ports
3 HDMI Ports","1236 x 718.2 x 22 mm
Colour: Black"
adsun a-3200n 32 inch (81 cm) led hd-ready tv,adsun,a-3200n 3,32,6789,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,,"2 USB Ports, 2 HDMI Ports, Wi-Fi",Colour: Black
adsun a-3200f/n 32 inch (81 cm) led hd-ready tv,adsun,a-3200f/n 3,32,7200,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,,"2 USB Ports, 2 HDMI Ports","73x6.99xN/A mm, Weight: N/A kg, Colour: Black"
compaq hueq x cqv43fds 43 inch (109 cm) led full hd tv,compaq,hueq x cqv43fds 4,43,14999,led full hd tv,"43"" (109.22 cm), LED
Full HD, 1920x1080
60 Hz Refresh Rate",1920x1080,Apps,"Sound Output: 14 W
2 USB Ports
3 HDMI Ports","970 x 563 x 85 mm
Weight: 5.91 kg
Colour: Black"
beethosol ledatvbg2483hd17-tp 24 inch (60 cm) led hd-ready tv,beethosol,ledatvbg2483hd17-tp 2,24,5499,led hd-ready tv,"24"" (60.96 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,,"1 USB Port, 1 HDMI Port",Colour: Black
beethosol ledstvbg3285hd27-ek 32 inch (81 cm) led hd-ready tv,beethosol,ledstvbg3285hd27-ek 3,32,8249,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,"Apps
Voice Control","Sound Output: 24 W
2 USB Ports
1 HDMI Ports",Colour: Grey
foxsky 55fs-vs 55 inch (139 cm) led 4k tv,foxsky,55fs-vs 5,55,26499,led 4k tv,"55"" (139.7 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps and Games
Web Browser
Voice Control","Sound Output: 30 W
2 USB Ports
2 HDMI Ports",Colour: Black
motorola revou 2 43fhdadmvvee 43 inch (109 cm) led full hd tv,motorola,revou 2 43fhdadmvvee 4,43,22327,led full hd tv,"43"" (109.22 cm), LED
Full HD, 1920x1080",1920x1080,"Apps and Games
Smart Remote","Sound Output: 24 W
2 USB Ports
3 HDMI Ports","960 x 565 x 87 mm
Weight: 7 kg
Colour: Silver"
samsung ua65aue60ak 65 inch (165 cm) led 4k tv,samsung,ua65aue60ak 6,65,80490,led 4k tv,"65"" (165.1 cm), LED
4K, 3840x2160
60 Hz Refresh Rate",3840x2160,"Apps and Games
Web Browser
Voice Control","Sound Output: 20 W
1 USB Ports
3 HDMI Ports","1449.4 x 830.3 x 59.9 mm
Weight: 20.6 kg
Colour: Black"
lg 32lm565bpta 32 inch (81 cm) led hd-ready tv,lg,32lm565bpta 3,32,13499,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
50 Hz Refresh Rate",1366x768,"Apps and Games
Web Browser
Facebook","Sound Output: 10 W
1 USB Ports
2 HDMI Ports","739 x 44 x 84 mm
Weight: 5.1 kg
Colour: Black"
sansui neo jswy32cshd 32 inch (81 cm) led hd-ready tv,sansui,neo jswy32cshd 3,32,10769,led hd-ready tv,"32"" (81.28 cm), LED
HD-Ready, 1366x768
60 Hz Refresh Rate",1366x768,Apps,"Sound Output: 24 W
1 USB Ports
3 HDMI Ports","719.4 x 426.8 x 84 mm
Colour: Black"
